SYMBOL,UNDERLYING ASSET ,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME,VALUE (Crores),NAV,52W H,52W L,30 D %CHNG,365 D %CHNG
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","210.13","213.78","210.06","207.35","213.21","-","5.86","2.83","20830200","441.58","207.32","360.00","106.64","-6.31","91.83"
"GOLDBEES","Gold","118.06","119.52","118.06","117.15","119.50","-","2.35","2.01","14263182","169.60","117.12","148.14","80.02","-2.63","40.75"
"LIQUIDBEES","Government Securities","1,002.98","1,002.98","999.99","999.99","1,000.00","-","0.01","0","1330863","133.08","1,000.00","1,029.99","969.99","0","0"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","115.33","115.33","115.31","115.31","115.31","-","0","0","7854589","90.57","115.31","115.33","102.00","0.4","5.03"
"NIFTYBEES","Nifty 50","284.37","284.37","278.80","278.79","280.15","-","1.36","0.49","2698035","75.70","280.59","302.25","251.70","1.04","-0.02"
"TATSILV","Tata Silver Exchange Traded Fund","21.30","21.72","21.30","21.06","21.66","-","0.6","2.85","34505127","74.26","21.07","35.10","10.44","-6.23","92.15"
"SILVERIETF","Domestic Price of Silver","219.50","226.55","218.66","216.30","222.37","-","6.07","2.81","2850052","62.99","216.35","373.50","111.15","-6.3","92.4"
"HDFCSILVER","HDFC Silver ETF","210.61","213.85","210.03","207.22","213.38","-","6.16","2.97","2085418","44.25","207.43","359.00","106.78","-6.46","90.81"
"GOLDCASE","Zerodha Gold ETF","22.41","22.74","22.39","22.29","22.73","-","0.44","1.97","17346185","39.13","22.29","27.94","15.25","-2.58","40.9"
"TATAGOLD","Tata Gold Exchange Traded Fund","13.85","14.04","13.85","13.77","14.03","-","0.26","1.89","22936984","32.02","13.77","17.70","9.36","-2.55","41.09"
"BANKBEES","Nifty Bank","596.45","600.39","596.45","595.76","597.25","-","1.49","0.25","442009","26.47","600.27","638.99","515.98","-0.73","3.83"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","184.15","185.20","184.00","183.29","184.59","-","1.3","0.71","1360444","25.15","183.35","185.20","142.70","1.01","6.89"
"SBISILVER","SBI SILVER ETF","216.37","218.88","215.68","212.30","218.30","-","6","2.83","1105444","24.05","212.46","362.00","105.15","-6.32","91.57"
"ITBEES","Nifty IT TRI","34.70","35.12","34.50","34.70","34.95","-","0.25","0.72","6620636","23.13","34.97","44.27","28.55","13.85","-9.78"
"GOLDIETF","Gold","122.12","123.85","122.12","121.34","123.84","-","2.5","2.06","1817998","22.39","121.31","158.00","82.87","-2.75","41.03"
"PSUBNKBEES","Nifty PSU Bank","94.65","96.00","94.65","94.54","95.35","-","0.81","0.86","2221477","21.22","94.78","110.40","73.82","0.42","23.48"
"SILVERCASE","Commodity-Silver","22.96","22.96","22.26","21.96","22.57","-","0.61","2.78","8645338","19.37","22.29","38.01","11.29","-6.47","91.62"
"SILVER","Physical price of Silver","219.02","222.90","219.02","216.41","222.38","-","5.97","2.76","803425","17.75","216.43","371.89","110.66","-6.33","92.24"
"JUNIORBEES","Nippon India ETF Nifty Next 50 Junior BeES","818.04","818.04","788.00","802.00","804.61","-","2.61","0.33","210110","16.96","802.41","818.04","632.34","2.73","11.55"
"SETFGOLD","Gold","121.55","123.29","121.51","120.97","123.23","-","2.26","1.87","1273609","15.61","120.78","153.95","82.51","-2.58","40.84"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","24.57","24.57","23.86","23.85","23.89","-","0.04","0.17","5766517","13.78","23.87","24.57","19.60","1.88","9.91"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,116.72","1,116.74","1,116.72","1,116.59","1,116.72","-","0.13","0.01","121219","13.54","1,116.59","1,136.66","1,030.28","0.41","5.11"
"HDFCGOLD","Gold","122.74","123.43","122.02","121.12","123.40","-","2.28","1.88","1059373","13.01","121.00","152.30","83.43","-2.55","40.94"
"GOLDAXIS","Gold","118.95","120.68","118.95","118.14","120.66","-","2.52","2.13","1071673","12.87","118.04","150.00","80.84","-3.04","0"
"BANKIETF","Nifty Bank","59.50","59.53","59.23","59.07","59.31","-","0.24","0.41","2153486","12.78","59.53","63.90","51.17","-0.82","3.89"
"NIFTYIETF","Nifty 50","279.95","279.95","278.31","277.65","278.83","-","1.18","0.42","447857","12.51","279.15","328.24","250.40","1.16","0.03"
"MID150BEES","Nifty Midcap 150 TRI","245.00","245.00","241.71","241.47","242.08","-","0.61","0.25","507336","12.31","241.37","245.00","190.43","1.95","9.81"
"LIQUIDIETF","S&P BSE Liquid Rate Index","1,000.00","1,000.01","999.99","999.99","1,000.00","-","0.01","0","104178","10.42","1,000.00","1,041.19","969.99","0","0"
"SILVER1","Kotak Silver ETF","21.31","21.67","21.31","21.01","21.62","-","0.61","2.9","4302904","9.24","21.03","38.80","10.70","-6.37","-80.82"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","85.96","87.11","85.95","85.40","86.61","-","1.21","1.42","959144","8.33","86.07","104.00","67.86","-0.13","22.79"
"LIQUIDADD","DSP S&P BSE Liquid Rate ETF","1,138.85","1,138.87","1,138.85","1,138.72","1,138.85","-","0.13","0.01","65796","7.49","1,138.72","1,151.22","1,052.08","0.4","5"
"AUTOBEES","Nifty Auto TRI","300.87","304.93","300.78","300.01","303.95","-","3.94","1.31","243268","7.38","300.24","304.93","238.11","7.81","22.76"
"LIQUIDBETF","Bajaj Finserv Nifty 1D Rate Liquid ETF","1,093.12","1,093.26","1,093.12","1,093.12","1,093.25","-","0.13","0.01","66642","7.29","1,093.10","1,116.24","1,009.94","0.39","4.92"
"MODEFENCE","Nifty India Defence Total Return Index","103.29","104.10","103.00","103.07","103.00","-","-0.07","-0.07","701736","7.27","103.42","107.99","77.80","-2.07","20.13"
"METALIETF","Nifty Metal Index","13.10","13.25","13.10","13.10","13.14","-","0.04","0.31","5323455","7.00","13.12","14.17","8.98","3.48","40.56"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","47.64","48.16","47.57","47.61","48.03","-","0.42","0.88","1418349","6.82","47.58","54.50","37.34","1.28","4.82"
"SETFNIF50","Nifty 50","263.82","266.26","263.82","263.77","264.60","-","0.83","0.31","249385","6.61","265.17","287.33","237.90","1.13","0"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","18.33","18.57","18.23","18.13","18.41","-","0.28","1.54","3478255","6.42","18.28","19.38","14.22","0.33","6.4"
"NEXT50IETF","Nifty Next 50","80.38","80.38","78.35","78.04","78.48","-","0.44","0.56","796719","6.27","78.31","80.38","62.60","2.5","11.31"
"PHARMABEES","Nifty Pharma TRI","27.26","27.56","27.15","27.26","27.29","-","0.03","0.11","2218888","6.04","27.34","27.95","21.46","2.95","19.88"
