SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 50","24,703.90","24,703.90","24,427.95","24,774.30","24,614.90","-","-159.4","-0.64","295991367","26,092.51","26,373.20","22,182.55","1.42","-0.44"
"HDFCBANK","753.20","753.20","738.00","753.00","742.00","-","-11","-1.46","31451381","2,335.67","1,020.50","726.65","-7.37","-25.5"
"ICICIBANK","1,452.00","1,454.60","1,430.80","1,460.00","1,454.60","-","-5.4","-0.37","11380139","1,640.75","1,480.00","1,187.60","3.06","-0.59"
"RELIANCE","1,315.00","1,315.00","1,286.40","1,319.00","1,290.90","-","-28.1","-2.13","10590603","1,373.01","1,611.80","1,249.80","-1","-8.54"
"BAJFINANCE","1,164.00","1,164.00","1,139.50","1,153.00","1,149.00","-","-4","-0.35","9436362","1,083.23","1,176.40","787.90","11.4","29.79"
"INFY","1,168.00","1,175.70","1,153.30","1,180.00","1,167.50","-","-12.5","-1.06","9191165","1,066.62","1,728.00","982.40","11.49","-21.14"
"BHARTIARTL","1,980.00","1,980.00","1,936.00","1,970.50","1,970.10","-","-0.4","-0.02","4946436","968.45","2,174.50","1,740.50","3.13","2.9"
"SBIN","1,047.60","1,047.60","1,030.90","1,045.00","1,042.70","-","-2.3","-0.22","8539502","884.99","1,234.70","786.55","0.26","31.04"
"MARUTI","14,124.00","14,254.00","14,015.00","14,150.00","14,168.00","-","18","0.13","619662","875.90","17,370.00","12,201.00","-1.38","14.58"
"M&M","3,401.00","3,434.10","3,384.60","3,428.60","3,433.00","-","4.4","0.13","2450500","836.39","3,839.90","2,896.00","9.44","7.27"
"HINDALCO","995.00","1,020.00","993.10","994.90","1,020.00","-","25.1","2.52","7687762","774.93","1,176.00","657.50","7.01","48.32"
"LT","4,007.20","4,042.40","3,988.20","4,025.00","3,990.00","-","-35","-0.87","1826514","733.93","4,440.00","3,288.10","-0.91","9.88"
"AXISBANK","1,264.00","1,264.00","1,244.00","1,272.00","1,261.80","-","-10.2","-0.8","5693646","713.35","1,418.30","1,042.50","-5.98","18.08"
"TCS","2,463.10","2,467.40","2,435.10","2,473.70","2,460.00","-","-13.7","-0.55","2791949","683.90","3,350.00","1,976.80","17.51","-19.98"
"JIOFIN","264.00","266.60","261.90","263.00","265.00","-","2","0.76","24755693","654.66","338.60","223.30","10.72","-20.63"
"NESTLEIND","1,523.00","1,535.90","1,448.30","1,530.00","1,520.00","-","-10","-0.65","4023200","603.86","1,535.90","1,084.70","4.12","33.49"
"TITAN","4,935.00","4,935.00","4,862.00","5,000.00","4,935.00","-","-65","-1.3","1181647","577.96","5,000.00","3,303.10","10.62","47.04"
"ETERNAL","311.00","312.70","309.00","310.50","312.40","-","1.9","0.61","16092957","500.44","368.45","212.60","10.92","2.34"
"HDFCLIFE","551.80","551.80","530.50","553.10","535.95","-","-17.15","-3.1","9284866","497.86","815.00","530.50","-5.59","-27.55"
"EICHERMOT","8,024.00","8,024.00","7,867.50","8,050.00","7,935.00","-","-115","-1.43","599645","475.38","8,230.00","5,520.00","8.11","41.17"
"TRENT","3,058.00","3,111.00","3,038.00","3,050.00","3,107.70","-","57.7","1.89","1523948","469.54","3,782.67","2,183.67","-6.97","-11.19"
"TATASTEEL","190.70","192.60","189.00","191.00","190.95","-","-0.05","-0.03","22155771","422.73","224.40","153.05","0.61","19.67"
"BEL","390.20","394.10","389.25","392.15","391.50","-","-0.65","-0.17","10629651","415.87","473.45","361.20","-6.35","0.5"
