SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY BANK","58,068.95","58,068.95","57,352.65","58,247.95","57,907.20","-","-340.75","-0.58","168413606","7,083.38","61,764.85","49,954.85","-0.05","4.11"
"HDFCBANK","753.20","753.20","738.00","753.00","742.00","-","-11","-1.46","31451381","2,335.67","1,020.50","726.65","-7.37","-25.5"
"ICICIBANK","1,452.00","1,454.60","1,430.80","1,460.00","1,454.60","-","-5.4","-0.37","11380139","1,640.75","1,480.00","1,187.60","3.06","-0.59"
"SBIN","1,047.60","1,047.60","1,030.90","1,045.00","1,042.70","-","-2.3","-0.22","8539502","884.99","1,234.70","786.55","0.26","31.04"
"AXISBANK","1,264.00","1,264.00","1,244.00","1,272.00","1,261.80","-","-10.2","-0.8","5693646","713.35","1,418.30","1,042.50","-5.98","18.08"
"KOTAKBANK","395.50","398.25","392.10","397.50","398.00","-","0.5","0.13","9107881","359.47","453.20","345.50","0.32","-0.35"
"CANBK","127.09","128.95","126.26","127.10","128.00","-","0.9","0.71","21650828","277.26","162.89","103.55","0.64","18.79"
"FEDERALBNK","364.55","364.55","357.10","371.70","362.45","-","-9.25","-2.49","5561156","199.91","371.70","185.11","10.71","84.49"
"UNIONBANK","174.37","175.20","172.44","174.00","174.00","-","0","0","6865900","119.30","205.49","124.64","6.69","34.84"
"IDFCFIRSTB","85.87","86.13","84.45","86.00","86.00","-","0","0","12926785","110.64","88.76","58.08","6.89","24.04"
"BANKBARODA","247.19","249.15","245.00","247.25","245.00","-","-2.25","-0.91","4142594","102.26","325.50","230.81","-2.85","1.59"
"YESBANK","23.00","23.01","22.78","23.00","23.00","-","0","0","41645254","95.37","25.78","17.20","-5.7","21.76"
"PNB","113.49","114.00","112.64","113.00","113.99","-","0.99","0.88","7956496","90.39","135.15","98.50","8.2","8.91"
"AUBANK","1,055.00","1,059.00","1,035.20","1,060.00","1,059.00","-","-1","-0.09","771800","80.54","1,090.40","682.15","0.06","40.78"
"INDUSINDBK","1,028.90","1,028.90","1,014.60","1,028.90","1,026.00","-","-2.9","-0.28","720244","73.48","1,077.85","710.60","5.3","27.6"
