SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY FINANCIAL SERVICES","26,941.05","26,941.05","26,594.30","26,984.45","26,844.70","-","-139.75","-0.52","137754770","11,708.71","28,562.50","23,373.95","-0.11","1.39"
"HDFCBANK","753.20","753.20","738.00","753.00","742.00","-","-11","-1.46","31559802","2,343.73","1,020.50","726.65","-7.37","-25.5"
"ICICIBANK","1,452.00","1,454.60","1,430.80","1,460.00","1,454.60","-","-5.4","-0.37","11458963","1,652.21","1,480.00","1,187.60","3.06","-0.59"
"BAJFINANCE","1,164.00","1,164.00","1,139.50","1,153.00","1,149.00","-","-4","-0.35","9437990","1,083.42","1,176.40","787.90","11.4","29.79"
"BSE","3,575.00","3,637.80","3,555.40","3,575.00","3,618.00","-","43","1.2","2817947","1,015.18","4,446.80","2,021.50","-5.2","45.5"
"SBIN","1,047.60","1,047.60","1,030.90","1,045.00","1,042.70","-","-2.3","-0.22","8544184","885.48","1,234.70","786.55","0.26","31.04"
"AXISBANK","1,264.00","1,264.00","1,244.00","1,272.00","1,261.80","-","-10.2","-0.8","5694891","713.51","1,418.30","1,042.50","-5.98","18.08"
"JIOFIN","264.00","266.60","261.90","263.00","265.00","-","2","0.76","24776731","655.22","338.60","223.30","10.72","-20.63"
"HDFCLIFE","551.80","551.80","530.50","553.10","535.95","-","-17.15","-3.1","9286204","497.94","815.00","530.50","-5.59","-27.55"
"BAJAJFINSV","2,075.00","2,105.00","2,068.00","2,096.00","2,105.00","-","9","0.43","1959197","408.31","2,195.00","1,597.00","11.05","8.86"
"MUTHOOTFIN","2,891.30","2,907.00","2,870.00","2,890.90","2,870.00","-","-20.9","-0.72","1372471","396.07","4,149.50","2,476.60","-6.05","7.66"
"SHRIRAMFIN","1,080.00","1,091.70","1,075.10","1,090.20","1,087.30","-","-2.9","-0.27","3516949","380.86","1,108.00","566.50","2.23","74"
"PFC","420.00","421.80","416.25","421.50","420.00","-","-1.5","-0.36","8639728","362.05","486.50","329.90","-1.36","1.51"
"KOTAKBANK","395.50","398.25","392.10","397.50","398.00","-","0.5","0.13","9131231","360.40","453.20","345.50","0.32","-0.35"
"SBILIFE","1,901.00","1,909.80","1,856.60","1,915.00","1,899.00","-","-16","-0.84","1516326","284.04","2,132.00","1,700.40","6.17","3.69"
"CHOLAFIN","1,888.20","1,888.20","1,859.40","1,888.20","1,875.00","-","-13.2","-0.7","1345656","251.98","1,913.00","1,299.40","4.76","27.37"
"RECLTD","368.15","370.80","366.80","368.10","368.00","-","-0.1","-0.03","3526856","130.19","397.80","304.05","0.78","-6.49"
"MFSL","1,544.00","1,548.50","1,495.30","1,542.50","1,519.30","-","-23.2","-1.5","667396","101.23","1,892.50","1,433.60","-4.84","2.54"
"LICHSGFIN","516.95","518.60","509.35","519.00","512.00","-","-7","-1.35","1388121","71.28","598.20","458.90","-7.53","-13.37"
"ICICIGI","1,675.00","1,675.00","1,632.20","1,675.00","1,644.80","-","-30.2","-1.8","427517","70.16","2,064.90","1,544.60","-7.22","-13.23"
"SBICARD","668.35","668.40","657.70","665.05","658.00","-","-7.05","-1.06","686610","45.48","965.00","565.45","8.98","-18.21"
