SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY MIDCAP SELECT","14,906.40","14,908.85","14,790.00","14,898.15","14,871.50","-","-26.65","-0.18","222136569","8,756.19","14,908.85","12,046.20","2.24","15.63"
"LICI","392.00","402.40","388.80","428.50","391.30","-","-37.2","-8.68","52632436","2,077.98","468.48","360.75","-9.05","-12.59"
"BSE","3,575.00","3,637.80","3,555.40","3,575.00","3,618.00","-","43","1.2","2816182","1,014.54","4,446.80","2,021.50","-5.2","45.5"
"PAYTM","1,436.00","1,436.60","1,388.40","1,410.00","1,400.00","-","-10","-0.71","6108802","863.80","1,437.60","930.60","14.62","29.85"
"HEROMOTOCO","5,460.00","5,606.00","5,425.00","5,460.00","5,548.00","-","88","1.61","1013715","562.51","6,388.50","4,310.10","14.33","22.31"
"DIXON","13,900.00","14,086.00","13,812.00","13,892.00","13,988.00","-","96","0.69","300693","419.61","18,471.00","9,600.00","12.3","-17.73"
"SWIGGY","286.35","293.85","285.40","288.00","291.00","-","3","1.04","14271546","413.49","474.00","235.75","17.21","-27.1"
"AUROPHARMA","1,555.00","1,585.90","1,536.80","1,554.70","1,585.90","-","31.2","2.01","2242896","350.08","1,636.80","1,016.10","-2.14","45.44"
"SUZLON","48.59","49.15","47.90","48.10","48.01","-","-0.09","-0.19","61453476","298.23","66.81","38.19","-15.58","-26.14"
"POLYCAB","9,084.00","9,215.00","9,070.00","9,034.00","9,176.00","-","142","1.57","318397","291.81","10,126.00","6,620.00","-3.9","32.61"
"LUPIN","2,394.00","2,410.00","2,377.10","2,393.00","2,410.00","-","17","0.71","1168838","279.42","2,529.50","1,836.80","-2.67","28.04"
"ASHOKLEY","175.00","175.16","172.08","174.55","172.08","-","-2.47","-1.42","15234290","264.44","215.42","114.96","4.7","40.36"
"PERSISTENT","5,590.00","5,599.00","5,462.50","5,575.00","5,499.00","-","-76","-1.36","464753","255.49","6,599.00","4,244.50","17.43","6.21"
"MARICO","880.95","881.00","852.15","880.95","875.00","-","-5.95","-0.68","2333278","202.48","889.10","690.30","4.35","20.97"
"HINDPETRO","395.00","395.05","390.55","395.00","391.50","-","-3.5","-0.89","4967922","195.09","508.45","316.20","-1.94","-4.2"
"BHEL","411.15","412.85","406.25","411.15","411.95","-","0.8","0.19","4708686","192.87","446.50","205.12","7.39","70.63"
"BHARATFORG","2,213.20","2,214.90","2,177.10","2,211.00","2,195.00","-","-16","-0.72","699849","153.07","2,238.00","1,100.50","2.73","86.43"
"INDUSTOWER","396.00","396.50","387.15","395.30","390.00","-","-5.3","-1.34","3916177","152.82","481.50","312.55","1.75","12.78"
"FORTIS","940.05","942.00","924.05","940.00","932.80","-","-7.2","-0.77","1509625","140.70","1,104.30","766.80","-4.29","8.23"
"NAUKRI","1,274.50","1,276.80","1,251.70","1,268.80","1,260.00","-","-8.8","-0.69","1053674","133.12","1,437.80","908.30","21.78","-8.09"
"POLICYBZR","1,647.50","1,647.50","1,591.60","1,650.00","1,597.00","-","-53","-3.21","643263","103.36","1,974.00","1,364.00","0.36","-10.33"
"YESBANK","23.00","23.01","22.78","23.00","23.00","-","0","0","41645254","95.37","25.78","17.20","-5.7","21.76"
"AUBANK","1,055.00","1,059.00","1,035.20","1,060.00","1,059.00","-","-1","-0.09","771800","80.54","1,090.40","682.15","0.06","40.78"
"INDIANB","845.80","852.75","837.30","845.00","845.00","-","0","0","885757","74.69","1,000.90","619.05","5.76","32.41"
"INDUSINDBK","1,028.90","1,028.90","1,014.60","1,028.90","1,026.00","-","-2.9","-0.28","720244","73.48","1,077.85","710.60","5.3","27.6"
"SRF","2,663.00","2,663.00","2,611.00","2,645.00","2,642.30","-","-2.7","-0.1","255016","67.21","3,210.00","2,355.00","-5.45","-13.38"
