SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY NEXT 50","74,551.50","74,667.20","74,037.15","74,608.70","74,210.55","-","-398.15","-0.53","200864295","11,636.02","74,667.20","59,896.10","2.69","10.9"
"DIVISLAB","8,451.00","8,460.50","8,243.00","8,585.00","8,378.00","-","-207","-2.41","970269","808.86","8,585.00","5,636.50","23.99","29.1"
"CGPOWER","846.60","882.80","846.45","826.10","880.05","-","53.95","6.53","8515827","743.38","980.90","525.50","-1.4","32.89"
"TVSMOTOR","4,389.00","4,392.80","4,336.00","4,389.00","4,360.00","-","-29","-0.66","1390674","606.54","4,392.80","2,882.60","20.2","48.17"
"ABB","7,601.00","7,894.50","7,600.50","7,601.00","7,700.00","-","99","1.3","718108","559.54","7,924.50","4,637.50","10.78","51.2"
"PIDILITIND","1,642.50","1,659.00","1,602.00","1,642.50","1,620.00","-","-22.5","-1.37","2923763","479.42","1,659.00","1,259.00","1.38","9.76"
"DLF","654.80","659.80","643.40","668.55","643.40","-","-25.15","-3.76","7012907","457.15","798.80","489.40","-4.81","-18.85"
"SIEMENS","3,919.60","4,073.80","3,919.60","3,900.00","4,000.50","-","100.5","2.58","1107665","444.82","4,073.80","2,826.00","13.13","33.64"
"MOTHERSON","155.01","155.87","148.34","155.01","151.00","-","-4.01","-2.59","26873713","405.63","155.87","89.70","3.21","53.61"
"MUTHOOTFIN","2,891.30","2,907.00","2,870.00","2,890.90","2,870.00","-","-20.9","-0.72","1371787","395.87","4,149.50","2,476.60","-6.05","7.66"
"VEDL","268.00","271.90","266.05","267.25","269.00","-","1.75","0.65","14072031","378.35","795.00","249.70","-4.07","-37.65"
"PFC","420.00","421.80","416.25","421.50","420.00","-","-1.5","-0.36","8638385","361.99","486.50","329.90","-1.36","1.51"
"TORNTPHARM","5,058.00","5,058.50","4,996.00","5,050.00","5,030.00","-","-20","-0.4","658473","330.26","5,250.00","3,480.60","5.49","39.23"
"HINDZINC","550.00","564.00","546.55","547.00","562.90","-","15.9","2.91","5781885","323.22","733.00","413.85","4.91","33.52"
"HAL","4,680.00","4,718.00","4,626.00","4,690.00","4,635.00","-","-55","-1.17","686326","320.39","4,978.00","3,479.10","4.65","2.14"
"GAIL","174.25","177.22","173.16","174.30","175.00","-","0.7","0.4","18129718","318.27","186.87","134.36","0.49","0.26"
"CANBK","127.09","128.95","126.26","127.10","128.00","-","0.9","0.71","21650828","277.26","162.89","103.55","0.64","18.79"
"HDFCAMC","2,589.00","2,589.00","2,533.00","2,600.60","2,556.00","-","-44.6","-1.71","1035260","263.96","2,967.25","2,205.60","-8.72","-10.08"
